Province/State,Country/Region,Lat,Long,4/20/20
,Ireland,53.1424,-7.6921,15652
,Israel,31.0,35.0,13713
,Italy,43.0,12.0,181228
,Jamaica,18.1096,-77.2975,223
,Japan,36.0,138.0,10797
,Jordan,31.24,36.51,425
,Kazakhstan,48.0196,66.9237,1852
,Kenya,-0.0236,37.9062,281
,"Korea, South",36.0,128.0,10674
,Kuwait,29.5,47.75,1995
,Kyrgyzstan,41.2044,74.7661,568
,Latvia,56.8796,24.6032,739
,Lebanon,33.8547,35.8623,677
,Liberia,6.4281,-9.4295,99
,Liechtenstein,47.14,9.55,81
,Lithuania,55.1694,23.8813,1326
,Luxembourg,49.8153,6.1296,3558
,Madagascar,-18.7669,46.8691,121
,Malaysia,2.5,112.5,5425
,Maldives,3.2028,73.2207,69
,Malta,35.9375,14.3754,431
,Mauritania,21.0079,10.9408,7
,Mauritius,-20.2,57.5,328
,Mexico,23.6345,-102.5528,8261
,Moldova,47.4116,28.3699,2548
,Monaco,43.7333,7.4167,94
,Mongolia,46.8625,103.8467,33
,Montenegro,42.5,19.3,312
,Morocco,31.7917,-7.0926,3046
,Namibia,-22.9576,18.4904,16
,Nepal,28.1667,84.25,31
Aruba,Netherlands,12.5186,-70.0358,97
Curacao,Netherlands,12.1696,-68.99,14
Sint Maarten,Netherlands,18.0425,-63.0548,67
,Netherlands,52.1326,5.2913,33405
,New Zealand,-40.9006,174.886,1440
,Nicaragua,12.8654,-85.2072,10
,Niger,17.6078,8.0817,648
,Nigeria,9.082,8.6753,665
,North Macedonia,41.6086,21.7453,1225
,Norway,60.472,8.4689,7156
,Oman,21.0,57.0,1410
,Pakistan,30.3753,69.3451,8418
,Panama,8.538,-80.7821,4467
,Papua New Guinea,-6.315,143.9555,7
,Paraguay,-23.4425,-58.4438,208
,Peru,-9.19,-75.0152,16325
,Philippines,13.0,122.0,6459
,Poland,51.9194,19.1451,9593
,Portugal,39.3999,-8.2245,20863
,Qatar,25.3548,51.1839,6015
,Romania,45.9432,24.9668,8936
,Russia,60.0,90.0,47121
,Rwanda,-1.9403,29.8739,147
,Saint Lucia,13.9094,-60.9789,15
,Saint Vincent and the Grenadines,12.9843,-61.2872,12
,San Marino,43.9424,12.4578,462
,Saudi Arabia,24.0,45.0,10484
,Senegal,14.4974,-14.4524,377
,Serbia,44.0165,21.0059,6630
,Seychelles,-4.6796,55.492,11
,Singapore,1.2833,103.8333,8014
,Slovakia,48.669,19.699,1173
,Slovenia,46.1512,14.9955,1335
,Somalia,5.1521,46.1996,237
,South Africa,-30.5595,22.9375,3300
,Spain,40.0,-4.0,200210
,Sri Lanka,7.0,81.0,304
,Sudan,12.8628,30.2176,107
,Suriname,3.9193,-56.0278,10
,Sweden,63.0,16.0,14777
,Switzerland,46.8182,8.2275,27944
,Taiwan*,23.7,121.0,422
,Tanzania,-6.369,34.8888,254
,Thailand,15.0,101.0,2792
,Togo,8.6195,0.8248,84
,Trinidad and Tobago,10.6918,-61.2225,114
,Tunisia,34.0,9.0,884
,Turkey,38.9637,35.2433,90980
,Uganda,1.0,32.0,56
,Ukraine,48.3794,31.1656,5710
,United Arab Emirates,24.0,54.0,7265
Bermuda,United Kingdom,32.3078,-64.7505,86
Cayman Islands,United Kingdom,19.3133,-81.2546,66
Channel Islands,United Kingdom,49.3723,-2.3644,488
Gibraltar,United Kingdom,36.1408,-5.3536,132
Isle of Man,United Kingdom,54.2361,-4.5481,300
Montserrat,United Kingdom,16.7425,-62.1874,11
,United Kingdom,55.3781,-3.4360000000000004,124743
,Uruguay,-32.5228,-55.7658,535
,Uzbekistan,41.3775,64.5853,1627
,Venezuela,6.4238,-66.5897,256
,Vietnam,16.0,108.0,268
,Zambia,-15.4167,28.2833,65
,Zimbabwe,-20.0,30.0,25
Diamond Princess,Canada,0.0,0.0,-1
,Dominica,15.415,-61.371,16
,Grenada,12.1165,-61.678999999999995,14
,Mozambique,-18.665695,35.529562,39
,Syria,34.802075,38.99681500000001,39
,Timor-Leste,-8.874217,125.727539,22
,Belize,13.1939,-59.5432,18
Recovered,Canada,0.0,0.0,0
,Laos,19.856270000000002,102.495496,19
,Libya,26.3351,17.228331,51
,West Bank and Gaza,31.9522,35.2332,449
,Guinea-Bissau,11.8037,-15.1804,50
,Mali,17.570692,-3.996166000000001,246
,Saint Kitts and Nevis,17.357822,-62.782998,15
Northwest Territories,Canada,64.8255,-124.8457,5
Yukon,Canada,64.2823,-135.0,11
,Kosovo,42.602636,20.902977,510
,Burma,21.9162,95.956,119
Anguilla,United Kingdom,18.2206,-63.0686,3
British Virgin Islands,United Kingdom,18.4207,-64.64,5
Turks and Caicos Islands,United Kingdom,21.69400000000001,-71.7979,11
,MS Zaandam,0.0,0.0,9
,Botswana,-22.3285,24.6849,20
,Burundi,-3.3731,29.9189,5
,Sierra Leone,8.460555000000001,-11.779889,43
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,5
,Malawi,-13.254307999999998,34.301525,17
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,11
Saint Pierre and Miquelon,France,46.8852,-56.3159,1
,South Sudan,6.8770000000000024,31.307,4
,Western Sahara,24.2155,-12.8858,6
,Sao Tome and Principe,0.18636,6.613081,4
,Yemen,15.552726999999999,48.516388,1
Guam,US,13.4443,144.7937,136
Northern Mariana Islands,US,15.0979,145.6739,14
Puerto Rico,US,18.2208,-66.5901,1252
Virgin Islands,US,18.3358,-64.8963,53
Alabama,US,32.53952745,-86.64408227,28
Alabama,US,30.72774991,-87.72207058,117
